Player,Span,Matches,Innings,Overs,Mdns,Runs,Wickets,BBI,Average,Economy,SR,4,5,Column 12
TG Southee (NZ),2008-2023,114,112,415.2,5,3402,144,5/18,23.62,8.19,17.3,1,2,
Shakib Al Hasan (BAN),2006-2023,117,115,422.3,3,2869,140,5/20,20.49,6.79,18.1,5,2,
Rashid Khan (AFG/ICC),2015-2023,82,82,312.2,1,1925,130,5/3,14.80,6.16,14.4,4,2,
IS Sodhi (NZ),2014-2023,102,99,353.1,0,2822,126,4/28,22.39,7.99,16.8,3,0,
SL Malinga (SL),2006-2020,84,83,299.5,1,2225,107,5/6,20.79,7.42,16.8,1,2,
Shadab Khan (PAK),2017-2023,92,88,325.1,3,2301,104,4/8,22.12,7.07,18.7,3,0,
Mustafizur Rahman (BAN),2015-2023,85,84,302.4,6,2294,103,5/22,22.27,7.57,17.6,3,1,
MJ Santner (NZ),2015-2023,90,89,311.2,2,2206,100,4/11,22.06,7.08,18.6,2,0,
MR Adair (IRE),2019-2023,71,71,249.5,2,1920,98,4/13,19.59,7.68,15.2,3,0,
AU Rashid (ENG),2009-2023,99,95,345.2,4,2574,98,4/2,26.26,7.45,21.1,2,0,
Shahid Afridi (ICC/PAK),2006-2018,99,97,361.2,4,2396,98,4/11,24.44,6.63,22.1,3,0,
YS Chahal (IND),2016-2023,80,79,294.0,2,2409,96,6/25,25.09,8.19,18.3,2,1,
CJ Jordan (ENG),2014-2023,88,87,304.4,2,2658,96,4/6,27.68,8.72,19.0,3,0,
PWH de Silva (SL),2019-2023,58,56,208.4,1,1438,91,4/9,15.80,6.89,13.7,2,0,
B Kumar (IND),2012-2022,87,86,298.3,10,2079,90,5/4,23.10,6.96,19.9,3,2,
S Lamichhane (ICC/NEP),2018-2023,47,47,175.5,4,1119,89,5/9,12.57,6.36,11.8,2,1,
Mohammad Nabi (AFG),2010-2023,109,103,331.4,5,2427,87,4/10,27.89,7.31,22.8,3,0,
Saeed Ajmal (PAK),2009-2015,64,63,238.2,2,1516,85,4/19,17.83,6.36,16.8,4,0,
Umar Gul (PAK),2007-2016,60,60,200.3,2,1443,85,5/6,16.97,7.19,14.1,4,2,
SO Ngoche (KENYA),2010-2023,67,65,227.4,3,1416,84,4/14,16.85,6.21,16.2,3,0,
Haris Rauf (PAK),2020-2023,62,60,224.0,1,1802,83,4/18,21.71,8.04,16.1,3,0,
GH Dockrell (IRE),2010-2023,125,88,260.2,1,1869,82,4/20,22.79,7.17,19.0,1,0,
A Zampa (AUS),2016-2023,73,72,260.5,1,1823,82,5/19,22.23,6.98,19.0,0,1,
Bilal Khan (OMA),2015-2023,59,58,210.1,7,1348,81,4/19,16.64,6.41,15.5,3,0,
DJ Bravo (WI),2006-2021,91,77,250.5,0,2036,78,4/19,26.10,8.11,19.2,3,0,
T Shamsi (SA),2017-2023,63,63,226.4,1,1676,76,5/24,22.05,7.39,17.8,2,1,
TA Boult (NZ),2013-2022,55,55,209.3,2,1647,74,4/13,22.25,7.86,16.9,2,0,
JJ Bumrah (IND),2016-2023,62,61,221.5,10,1455,74,3/11,19.66,6.55,17.9,0,0,
HH Pandya (IND),2016-2023,92,81,238.5,1,1950,73,4/16,26.71,8.16,19.6,3,0,
MA Starc (AUS),2012-2022,58,58,219.0,2,1673,73,4/20,22.91,7.63,18.0,1,0,
R Ashwin (IND),2010-2022,65,65,242.0,3,1672,72,4/8,23.22,6.90,20.1,2,0,
SM Sharif (SCOT),2012-2023,63,62,214.1,1,1730,72,4/24,24.02,8.07,17.8,2,0,
MRJ Watt (SCOT),2015-2023,58,56,203.0,4,1407,69,5/27,20.39,6.93,17.6,1,1,
JB Little (IRE),2016-2023,60,59,219.2,2,1678,68,4/23,24.67,7.65,19.3,2,0,
H Ssenyondo (UGA),2019-2023,63,59,206.4,6,1134,68,4/4,16.67,5.48,18.2,5,0,
Aizaz Khan (HKG),2014-2023,53,53,177.3,3,1293,66,4/26,19.59,7.28,16.1,1,0,
KMDN Kulasekara (SL),2008-2017,58,58,205.1,6,1530,66,4/31,23.18,7.45,18.6,2,0,
D Maisuria (BOT),2019-2023,33,31,113.4,4,593,66,5/18,8.98,5.21,10.3,4,2,
BAW Mendis (SL),2008-2014,39,39,147.3,5,952,66,6/8,14.42,6.45,13.4,3,2,
SCJ Broad (ENG),2006-2014,56,55,195.3,2,1491,65,4/24,22.93,7.62,18.0,1,0,
Imad Wasim (PAK),2015-2023,66,65,226.0,4,1416,65,5/14,21.78,6.26,20.8,1,1,
K Irakoze (RWN),2021-2023,63,62,189.0,5,1239,64,4/20,19.35,6.55,17.7,3,0,
Shaheen Shah Afridi (PAK),2018-2023,52,52,190.3,2,1455,64,4/22,22.73,7.63,17.8,1,0,
DW Steyn (SA),2007-2020,47,47,169.1,3,1175,64,4/9,18.35,6.94,15.8,2,0,
PA van Meekeren (NED),2013-2022,58,56,194.1,2,1358,64,4/11,21.21,6.99,18.2,2,0,
Imran Tahir (SA/World),2013-2019,38,38,140.5,0,948,63,5/23,15.04,6.73,13.4,2,2,
Karan KC (NEP),2015-2023,45,45,147.4,4,1081,62,5/21,17.43,7.32,14.2,2,1,
Zahoor Khan (UAE),2017-2023,49,49,177.1,1,1211,62,4/16,19.53,6.83,17.1,2,0,
Mohammad Hafeez (PAK),2006-2021,119,79,210.1,3,1388,61,4/10,22.75,6.60,20.6,1,0,
Rohan Mustafa (UAE),2014-2023,58,56,184.2,3,1283,61,4/18,21.03,6.96,18.1,1,0,
Hasan Ali (PAK),2016-2022,50,49,169.1,5,1414,60,4/18,23.56,8.35,16.9,1,0,
L Ngidi (SA),2017-2023,40,40,130.5,0,1214,60,5/39,20.23,9.27,13.0,2,1,
N Vanua (PNG),2015-2023,51,46,152.4,3,1084,60,5/17,18.06,7.10,15.2,2,1,
CA Young (IRE),2015-2023,56,54,181.2,1,1442,60,4/13,24.03,7.95,18.1,2,0,
M Akayezu (RWN),2021-2023,56,48,145.4,3,1121,59,4/9,19.00,7.69,14.8,3,0,
Mohammad Amir (PAK),2009-2020,50,50,179.5,5,1263,59,4/13,21.40,7.02,18.2,1,0,
WD Parnell (SA),2009-2023,56,55,182.2,4,1513,59,5/30,25.64,8.29,18.5,1,1,
Waseem Abbas (MLT),2019-2023,46,46,168.0,2,1263,59,5/37,21.40,7.51,17.0,1,1,
Ehsan Khan (HKG),2016-2023,44,44,161.0,1,980,58,4/24,16.89,6.08,16.6,1,0,
JR Hazlewood (AUS),2013-2022,41,41,153.4,4,1181,58,4/12,20.36,7.68,15.8,4,0,
NL McCullum (NZ),2007-2016,63,59,187.1,0,1278,58,4/16,22.03,6.82,19.3,2,0,
YM Nkanya (TAN),2022-2023,40,38,134.0,4,684,58,5/2,11.79,5.10,13.8,3,1,
KJ O'Brien (IRE),2008-2021,110,52,152.5,0,1149,58,4/45,19.81,7.51,15.8,1,0,
K Rabada (SA),2014-2023,56,56,201.1,1,1733,58,3/20,29.87,8.61,20.8,0,0,
PM Seelaar (NED),2008-2021,77,64,188.4,4,1290,58,4/19,22.24,6.83,19.5,1,0,
JO Holder (WI),2014-2023,55,52,191.4,2,1577,57,5/27,27.66,8.22,20.1,2,1,
S Badree (WI/World),2012-2018,52,52,191.0,4,1180,56,4/15,21.07,6.17,20.4,1,0,
TL Chatara (ZIM),2010-2023,50,50,181.2,2,1304,56,3/14,23.28,7.19,19.4,0,0,
Mujeeb Ur Rahman (AFG),2018-2023,43,43,159.0,0,999,56,5/20,17.83,6.28,17.0,1,1,
RE van der Merwe (NED/SA),2009-2022,52,50,166.1,1,1070,56,4/35,19.10,6.43,17.8,1,0,
PJ Cummins (AUS),2011-2022,50,50,183.0,3,1350,55,3/15,24.54,7.37,19.9,0,0,
CW Perchard (JER),2019-2023,37,35,129.5,0,799,55,5/17,14.52,6.15,14.1,2,1,
WB Rankin (ENG/IRE),2009-2020,50,49,178.0,2,1219,55,3/16,22.16,6.84,19.4,0,0,
Arshdeep Singh (IND),2022-2023,36,36,121.5,1,1019,54,4/37,18.87,8.36,13.5,1,0,
JN Frylinck (NAM),2019-2022,38,37,127.0,1,840,54,6/24,15.55,6.61,14.1,1,1,
DM Nakrani (UGA),2019-2023,43,40,139.1,4,798,54,6/7,14.77,5.73,15.4,1,2,
Sohail Tanvir (PAK),2007-2017,57,57,202.2,3,1454,54,3/12,26.92,7.18,22.4,0,0,
E Sebareme (RWN),2021-2023,49,46,138.4,4,791,53,4/6,14.92,5.70,15.6,1,0,
Z Bimenyimana (RWN),2021-2023,53,52,156.2,4,1126,52,3/7,21.65,7.20,18.0,0,0,
PVD Chameera (SL),2015-2022,52,52,186.2,0,1507,52,4/17,28.98,8.08,21.5,1,0,
SS Cottrell (WI),2014-2023,45,44,153.0,4,1244,52,4/28,23.92,8.13,17.6,1,0,
LM Jongwe (ZIM),2015-2023,45,41,122.0,0,1029,52,4/18,19.78,8.43,14.0,1,0,
Kuldeep Yadav (IND),2017-2023,32,31,114.3,2,758,52,5/24,14.57,6.62,13.2,1,1,
Muslim Yar (GER),2019-2023,40,40,138.0,4,853,52,3/9,16.40,6.18,15.9,0,0,
SP Narine (WI),2012-2019,51,49,183.4,1,1105,52,4/12,21.25,6.01,21.1,1,0,
F Nsubuga (UGA),2019-2023,50,49,171.5,15,806,52,3/9,15.50,4.69,19.8,0,0,
Taskin Ahmed (BAN),2014-2023,54,52,182.4,3,1411,52,4/16,27.13,7.72,21.0,2,0,
Vraj Patel (KENYA),2021-2023,32,31,112.0,6,528,52,5/12,10.15,4.71,12.9,1,1,
RA Jadeja (IND),2009-2022,64,62,206.1,4,1453,51,3/15,28.49,7.04,24.2,0,0,
NLTC Perera (ICC/SL/World),2010-2021,84,67,183.4,1,1717,51,3/24,33.66,9.34,21.6,0,0,
GP Swann (ENG),2008-2012,39,38,135.0,4,859,51,3/13,16.84,6.36,15.8,0,0,
Syazrul Idrus (MAL),2019-2023,31,29,93.4,3,636,51,7/8,12.47,6.79,11.0,2,1,
DJ Willey (ENG),2015-2022,43,43,144.1,1,1180,51,4/7,23.13,8.18,16.9,1,0,
Pavandeep Singh (MAL),2019-2023,41,41,147.1,3,857,50,3/12,17.14,5.82,17.6,0,0,
Ghulam Ahmadi (GER),2021-2023,41,41,153.0,10,898,49,5/23,18.32,5.86,18.7,2,1,
AM Kimote (TAN),2021-2023,50,46,126.4,2,914,49,4/13,18.65,7.21,15.5,2,0,
AC Agar (AUS),2016-2022,47,47,165.4,1,1073,48,6/30,22.35,6.47,20.7,0,2,
Bilal Hassun (UGA),2021-2023,31,29,97.5,3,665,48,4/17,13.85,6.79,12.2,2,0,
A Bohara (NEP),2019-2023,39,38,128.0,1,870,48,6/11,18.12,6.79,16.0,1,1,
Junaid Siddique (UAE),2019-2023,38,38,139.2,2,1007,48,4/12,20.97,7.22,17.4,1,0,
SR Watson (AUS),2006-2016,58,49,155.0,2,1187,48,4/15,24.72,7.65,19.3,1,0,
MNM Aslam (KUW),2019-2023,38,37,128.0,7,769,47,4/5,16.36,6.00,16.3,2,0,
AF Milne (NZ),2010-2023,44,43,151.5,3,1218,47,5/26,25.91,8.02,19.3,1,1,
Mohammad Nawaz (3) (PAK),2016-2023,57,54,171.4,1,1258,47,3/5,26.76,7.32,21.9,0,0,
M Morkel (SA/World),2007-2017,44,44,158.4,3,1191,47,4/17,25.34,7.50,20.2,2,0,
AJ Tye (AUS),2016-2021,32,31,113.5,1,997,47,4/23,21.21,8.75,14.5,1,0,
SVE Bharathi (GER),2020-2023,37,37,125.5,2,672,46,4/6,14.60,5.34,16.4,1,0,
SA Jumbe (TAN),2021-2023,44,42,118.4,0,881,46,4/24,19.15,7.42,15.4,2,0,
Khawar Ali (OMA),2015-2022,41,39,119.2,0,790,46,4/11,17.17,6.62,15.5,3,0,
S Thakor (TAN),2021-2023,42,40,127.0,6,719,46,4/5,15.63,5.66,16.5,1,0,
Fitri Sham (MAL),2019-2023,41,38,134.2,2,884,45,3/22,19.64,6.58,17.9,0,0,
Iqbal Hussain (QAT),2019-2021,26,26,94.0,0,693,45,4/16,15.40,7.37,12.5,2,0,
S Muniandy (MAL),2019-2023,61,43,126.1,0,1085,45,4/13,24.11,8.59,16.8,3,0,
N Nipiko (VAN),2019-2023,28,25,76.0,0,573,45,5/19,12.73,7.53,10.1,5,1,
AL Phehlukwayo (SA),2017-2022,38,35,111.4,0,971,45,4/24,21.57,8.69,14.8,1,0,
MA Wood (ENG),2015-2023,28,27,99.3,1,831,45,3/9,18.46,8.35,13.2,0,0,
Abdur Razzak (BAN),2006-2014,34,33,121.4,4,838,44,4/16,19.04,6.88,16.5,1,0,
